===========================================
Starting tracing

PrimaryAuthManager Version: ...SF. (Release)

Platform: Linux

Time now: Mon 20 Nov 2023 16:20:07 UTC

Local time now: Mon 20 Nov 2023 16:20:07

Module: /opt/Citrix/ICAClient/PrimaryAuthManager

Module start time: Mon 20 Nov 2023 16:20:07 UTC

Module start local time: Mon 20 Nov 2023 16:20:07

===========================================
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   Configuration:
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   {
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   TracingEnabled=true
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   LoggingMode=normal
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   RequestSecondaryTokenLifetimeDHMS=0.01:00:00
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   RequestPrimaryTokenLifetimeDHMS=0.20:00:00
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   MinimumRefreshIntervalDHMS=0.00:10:00
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   RefreshRetryIntervalDHMS=0.00:10:00
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   RefreshMode=on
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   RefreshAtTokenLifetimePercentage=50
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   ServerTerminationMode=never
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   SavePasswordMode=never
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   ConnectionSecurityMode=secureonly
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   UIMode=normal
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   MaxChallengeChainDepth=5
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   MaxPrepareCallCount=6
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   Guid=
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   DesktopLogoffMode=logoffserver
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   CertificateCrlCheckMode=none
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   CertificateCheckMode=normal
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   Locale=
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   MaxUrlTableSize=10
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   UIInactivityTimeout=0.00:02:00
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   EpaScanAllowed=false
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   SoftTokenIntegrationAllowed=false
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   RememberUsername=false
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   VpnGatewayOverride=empty
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   VpnCapabilityOverride=none
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   CertificateSelectionMode=prompt
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   SmartCardPINEntry=authmanager
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   SmartCardRemovalAction=noaction
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   AllowAgeeForms=true
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   CertificateStoreOverrideForDiagnostics=
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   PermittedIssuerForDiagnostics=
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   BlockTimingEnabled=0
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   AuthServiceTimeoutSecs=0
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   FailedWpadBypassIntervalDHMS=0.00:01:00
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   ProxyEnabled=true
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   CeipSyncIntervalDHMS=0.01:00:00
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   ServiceRecordForCloudStoreEnabled=false
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   ProtocolOrder=httpbasic, integratedwindows, CitrixAGBasic, CitrixAGBasicNoPassword, Certificate, customforms, formsvariant, explicitforms
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   Protocol=ag
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       Name=ag
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       Enabled=true
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       RequiredConnectivity=unknown
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       IsPlugin=false
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       ProcessModel=InProcess
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       FallbackOnError=never
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   Protocol=aglegacy
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       Name=aglegacy
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       Enabled=true
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       RequiredConnectivity=unknown
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       IsPlugin=false
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       ProcessModel=OutOfprocess
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       FallbackOnError=never
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   Protocol=aglegacyclientcert
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       Name=aglegacyclientcert
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       Enabled=true
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       RequiredConnectivity=unknown
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       IsPlugin=false
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       ProcessModel=InProcess
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       FallbackOnError=never
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   Protocol=Certificate
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       Name=Certificate
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       Enabled=true
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       RequiredConnectivity=direct
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       IsPlugin=false
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       ProcessModel=InProcess
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       FallbackOnError=UserSwitchedProtocol UnsuitableProtocol
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   Protocol=CitrixAGBasic
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       Name=CitrixAGBasic
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       Enabled=true
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       RequiredConnectivity=gateway
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       IsPlugin=false
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       ProcessModel=InProcess
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       FallbackOnError=UnsuitableProtocol
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   Protocol=CitrixAGBasicNoPassword
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       Name=CitrixAGBasicNoPassword
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       Enabled=true
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       RequiredConnectivity=gateway
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       IsPlugin=false
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       ProcessModel=InProcess
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       FallbackOnError=UnsuitableProtocol
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   Protocol=customforms
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       Name=customforms
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       Enabled=true
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       RequiredConnectivity=any
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       IsPlugin=false
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       ProcessModel=InProcess
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       FallbackOnError=never
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   Protocol=explicitforms
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       Name=explicitforms
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       Enabled=true
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       RequiredConnectivity=any
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       IsPlugin=false
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       ProcessModel=InProcess
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       FallbackOnError=never
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   Protocol=formsvariant
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       Name=formsvariant
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       Enabled=true
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       RequiredConnectivity=any
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       IsPlugin=false
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       ProcessModel=InProcess
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       FallbackOnError=never
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   Protocol=httpbasic
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       Name=httpbasic
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       Enabled=false
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       RequiredConnectivity=direct
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       IsPlugin=false
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       ProcessModel=InProcess
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       FallbackOnError=UnsuitableProtocol
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   Protocol=integratedwindows
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       Name=integratedwindows
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       Enabled=true
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       RequiredConnectivity=direct
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       IsPlugin=false
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       ProcessModel=InProcess
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       SSONCheckEnabled=true
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       FallbackOnError=UnsuitableProtocol
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   Auth Form Plugin Configuration:
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       No plugin configuration found
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   
Mon 20 Nov 2023 16:20:07     < T:1FD7C780 main   }
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   static void AM::Utilities::CLinuxDependencies::InitializeCoreDependencies()
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   {
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   CAMSSLContextTracker created.
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   AM::CLinuxSSLContext::CLinuxSSLContext(const AM::Networking::CXUrl&)
Mon 20 Nov 2023 16:20:07     < T:1FD7C780 main   }
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main    initSmartCard=false
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   {
Mon 20 Nov 2023 16:20:07     < T:1FD7C780 main   }
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   CAuthenticatorSingleUseFactory::CAuthenticatorSingleUseFactory
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   {
Mon 20 Nov 2023 16:20:07     < T:1FD7C780 main   }
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   CAuthenticatorSingleUseFactory::CreateInstance
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   {
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   protocol=ag
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   CAuthenticatorSingleUseFactory::CreateBuiltInInstance
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   {
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .   protocolName=ag builtInAuthenticatorName=agbuiltin
Mon 20 Nov 2023 16:20:07     < T:1FD7C780 main   .   }
Mon 20 Nov 2023 16:20:07     < T:1FD7C780 main   }
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   AM::Networking::CWrappedComCookieJar::CWrappedComCookieJar(CitrixAuthManagerSDK::CClientCommLib*)
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   {
Mon 20 Nov 2023 16:20:07     < T:1FD7C780 main   }
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   CPrimaryAuthImpl::SetAuthenticatorSupport
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   {
Mon 20 Nov 2023 16:20:07     < T:1FD7C780 main   }
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   CPrimaryAuthImpl::Authenticate
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   {
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   CAGFormsAuthImpl::Authenticate
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   {
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .   CAGFormsGateway::CAGFormsGateway url='https://office.rku-it.de/' sslTransportAuth='None' formsStartPath=/nf/auth/startWebview.do
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .   StartUrl=https://office.rku-it.de/nf/auth/startWebview.do
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .   StartData=<?xml version="1.0" encoding="UTF-8" standalone="no" ?>
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .   <AGStartData>
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .   
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .     <RequestVpnCapableSession>false</RequestVpnCapableSession>
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .   
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .     <ReceiverIdUrlStr>https://office.rku-it.de/</ReceiverIdUrlStr>
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .   
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .     <SslTransportAuth>None</SslTransportAuth>
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .   
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .   </AGStartData>
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .   
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   CClientComAuthenticatorSupport::GetAdditionalHeaders
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   {
Mon 20 Nov 2023 16:20:07     < T:1FD7C780 main   .   .   }
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   CLinuxResourceKeeper::CLinuxResourceKeeper
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   {
Mon 20 Nov 2023 16:20:07     < T:1FD7C780 main   .   .   }
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   CFormsSubProtocol::CFormsSubProtocol
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   {
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .   .   Supports image labels: true
Mon 20 Nov 2023 16:20:07     < T:1FD7C780 main   .   .   }
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   CFormsSubProtocol::Execute
